relevance_score,score_reason,url,title,snippet,site_group,engine,people_names,people_titles,people_companies
0,No person identified in result,https://jinjibu.jp/hr-conference/202011/index.php,日本の人事部「ＨＲカンファレンス2020-秋-」,毎回ご好評の声をいただいているHRの情報誌『日本の人事部 LEADERS（リーダーズ）』。vol.8は、メインテーマを“人・組織・経営のビジョン”と設定しました。今回もHR関連のオピニオンリーダーが多数登場します。「ＨＲカンファレンス2020-秋-」にお申し込みいただいた先着2500名様にお送りします。,conference_and_events,brave,,,
0,No person identified in result,https://jinjibu.jp/hr-conference/202505/,日本の人事部「ＨＲカンファレンス2025-春-」,エイベックス・エンタテインメント株式会社 事業戦略本部 HRBPグループ ゼネラルマネージャー,conference_and_events,brave,,,
0,No person identified in result,https://jinjibu.jp/,『日本の人事部』 - HRで会社を伸ばす,トレンドワード · 組織の枠を超えて他社の人事とつながる 「ＨＲコンソーシアム」,conference_and_events,brave,,,
0,No person identified in result,https://biz-study.com/outside-events/%E6%97%A5%E6%9C%AC%E3%81%AE%E4%BA%BA%E4%BA%8B%E9%83%A8hr%E3%82%AB%E3%83%B3%E3%83%95%E3%82%A1%E3%83%AC%E3%83%B3%E3%82%B92022-%E6%98%A5/,日本の人事部 HRカンファレンス2022-春- の講演者一覧｜ビズスタ,"日本の人事部 HRカンファレンス2022-春- で講演依頼された人気がある登壇者の講演内容がわかる！講演者1,000人以上の情報が簡単に検索できて便利です。",conference_and_events,brave,,,
0,No person identified in result,https://www.linkedin.com/jobs/human-resources-jobs-japan,"1,000+ Human Resources jobs in Japan","Human Resources | 人事担�� · Nishitokyo, Tokyo, Japan 10 months ago · Senior HR Business Partner · Tokyo, Japan · Actively Hiring 4 days ago · Regional HR Manager, Customer Fulfillment · Greater Osaka Area · Be an early applicant 5 days ago · Senior HR Business Partner ·",conference_and_events,brave,,,
0,No person identified in result,https://jp.linkedin.com/jobs/country-manager-jobs,"Japanの1,000 Country Managerの求人 (67 新規)","Tokyo, Japan · 積極的に採用中 1日前 · Sales Director · Osaka · 早い段階の応募者になりましょう 2週間前 · Regional Sales Director · Tokyo, Japan · 早い段階の応募者になりましょう 3日前 · Country Manager- Japan &amp; Korea ·",conference_and_events,brave,,,
0,No person identified in result,https://www.robertwalters.co.jp/en/jobs/jobs-in-tokyo-kanto/human-resources-jobs-in-tokyo.html,Human Resources Jobs In Tokyo | Robert Walters Japan,"<strong>We recruit human resource professionals for both permanent and contract roles across Japan</strong>. With strong networks in Tokyo and Osaka, we support multinational firms, large corporations, and SMEs across a wide range of industries. We also partner with public sector organisations.",conference_and_events,brave,,,
0,No person identified in result,"https://www.glassdoor.com/Job/Country-Manager-Tokyo-SRCH_KO0,15_IL.16,21_IC2851580.htm","134 Country Manager Jobs in Tokyo, December 2025 | Glassdoor","<strong>Deploy, coordinate, and facilitate learning programs, including sales, leadership, manager, and HiPo development initiatives</strong>. 10 years of HR experience.&amp;hellip; Skills: 管理職・マネジメント経験, 日本語, 人事",conference_and_events,brave,,,
0,No person identified in result,https://jp.linkedin.com/jobs/country-manager-japan-jobs,Japanの287 Country Manager Japanの求人 (13 新規),"Tokyo, Japan · 積極的に採用中 1ヶ月前 · Head of Sales, Osaka · Osaka, Japan · 早い段階の応募者になりましょう 1週間前 · Country Manager, Japan · Tokyo, Japan · 早い段階の応募者になりましょう 5日前 · Regional Sales Director ·",conference_and_events,brave,,,
0,No person identified in result,"https://www.glassdoor.com/Job/japan-country-manager-jobs-SRCH_IL.0,5_IN123_KO6,21.htm","247 country manager Jobs in Japan, June 2025 | Glassdoor","<strong>Lead change management, coaching for leaders, and deliver employee and manager training</strong>. Lead and coordinate key HR initiatives and organizational development…&amp;hellip;",conference_and_events,brave,,,
0,No person identified in result,https://www.michaelpage.co.jp/jobs/country-manager,「Country Manager」の求人情報 | Michael Page Japan,"<strong>This position will directly report to the country&#x27;s General Manager</strong>. ... Work for one of the top companies in the market they are operating at. As an Account Manager, you will manage client accounts of a highly innovative materials company and ...",conference_and_events,brave,,,
0,No person identified in result,"https://www.glassdoor.com/Job/japan-hr-generalist-jobs-SRCH_IL.0,5_IN123_KO6,19.htm","15 hr generalist Jobs in Japan, September 2025 | Glassdoor",【在宅可】HRBP◆＜英語力活かす＞◆フレックス◆全社の人事戦略に関与 日系企業での人事経験お持ちの方歓迎 700 - 1100 万円 東京 人事 採用 募集要項 会社概要 この企業は、ポータブル電源ソリューションとモバイル充電ステーションを専門とするシェアリングサービスのパイオニアです…&amp;hellip; ... Employee reviews at パーソルキャリア株式会社パーソルキャリア株式会社 Overview · ロバート・ウォルターズ・ジャパン株式会社(大阪支店)HR Generalist,conference_and_events,brave,,,
0,No person identified in result,"https://www.glassdoor.com/Job/tokyo-country-manager-japan-jobs-SRCH_IL.0,5_IC2851580_KO6,27.htm",Country manager japan Jobs in Tokyo | Glassdoor,Search Country manager japan jobs in Tokyo with company ratings &amp; salaries. 353 open jobs for Country manager japan in Tokyo.,conference_and_events,brave,,,
